idx,question,sql,tables,shape_id,group,group_size
31,Which roof type had the most stable average daily soil moisture based on standard deviation?,"WITH daily AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QGravel) AS QGravel,
    AVG(QEx1) AS QEx1,
    AVG(QEx2) AS QEx2,
    AVG(QIn) AS QIn,
    AVG(QWetland) AS QWetland
  FROM swc
  GROUP BY
    1
), stats AS (
  SELECT
    'gravel' AS roof,
    STDDEV(QGravel) AS sd
  FROM daily
  UNION ALL
  SELECT
    'smart irrigated extensive',
    STDDEV(QEx1)
  FROM daily
  UNION ALL
  SELECT
    'non-irrigated extensive',
    STDDEV(QEx2)
  FROM daily
  UNION ALL
  SELECT
    'intensive',
    STDDEV(QIn)
  FROM daily
  UNION ALL
  SELECT
    'wetland',
    STDDEV(QWetland)
  FROM daily
)
SELECT
  roof,
  sd
FROM stats
ORDER BY
  sd ASC
LIMIT 1",['swc'],28,24,1
32,How many days did the wetland roof maintain average soil moisture above 40%?,"SELECT
  COUNT(*)
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QWetland) AS avg_moisture
  FROM swc
  GROUP BY
    day
  HAVING
    AVG(QWetland) > 40
)",['swc'],29,25,1
33,How many days did the intensive green roof maintain average soil moisture between 20% and 35%?,"SELECT
  COUNT(*)
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QIn) AS avg_moisture
  FROM swc
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
  HAVING
    AVG(QIn) BETWEEN 20 AND 35
) AS t",['swc'],30,26,1
34,What was the amount of days where average soil moisture was below 20% for each vegetated roof?,"WITH daily_average AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QEx1) AS QEx1,
    AVG(QEx2) AS QEx2,
    AVG(QIn) AS QIn,
    AVG(QWetland) AS QWetland
  FROM swc
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
)
SELECT
  'QEx1' AS column_name,
  COUNT(*) AS count_below_20
FROM daily_average
WHERE
  QEx1 < 20
UNION ALL
SELECT
  'QEx2',
  COUNT(*)
FROM daily_average
WHERE
  QEx2 < 20
UNION ALL
SELECT
  'QIn',
  COUNT(*)
FROM daily_average
WHERE
  QIn < 20
UNION ALL
SELECT
  'QWetland',
  COUNT(*)
FROM daily_average
WHERE
  QWetland < 20",['swc'],31,27,1
35,Which roof type showed the largest daily range in soil moisture?,"WITH daily_ranges AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    MAX(QGravel) - MIN(QGravel) AS gravel_range,
    MAX(QEx1) - MIN(QEx1) AS ex1_range,
    MAX(QEx2) - MIN(QEx2) AS ex2_range,
    MAX(QIn) - MIN(QIn) AS in_range,
    MAX(QWetland) - MIN(QWetland) AS wetland_range
  FROM swc
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
), avg_ranges AS (
  SELECT
    AVG(gravel_range) AS gravel,
    AVG(ex1_range) AS smart_irrigated_extensive,
    AVG(ex2_range) AS non_irrigated_extensive,
    AVG(in_range) AS intensive,
    AVG(wetland_range) AS wetland
  FROM daily_ranges
), unpivoted AS (
  SELECT
    'gravel' AS roof_type,
    gravel AS avg_daily_range
  FROM avg_ranges
  UNION ALL
  SELECT
    'smart_irrigated_extensive',
    smart_irrigated_extensive
  FROM avg_ranges
  UNION ALL
  SELECT
    'non_irrigated_extensive',
    non_irrigated_extensive
  FROM avg_ranges
  UNION ALL
  SELECT
    'intensive',
    intensive
  FROM avg_ranges
  UNION ALL
  SELECT
    'wetland',
    wetland
  FROM avg_ranges
)
SELECT
  roof_type,
  avg_daily_range
FROM unpivoted
ORDER BY
  avg_daily_range DESC
LIMIT 1",['swc'],32,28,1
36,How did average soil moisture on the non-irrigated extensive roof differ between days with no precipitation and days with at least 10 mm precipitation?,"WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS total_rain
  FROM wetter
  GROUP BY
    1
), daily_swc AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QEx2) AS avg_qex2
  FROM swc
  GROUP BY
    1
)
SELECT
  CASE
    WHEN dr.total_rain = 0
    THEN 'no_precipitation'
    WHEN dr.total_rain >= 10
    THEN 'at_least_10mm'
  END AS rain_category,
  AVG(ds.avg_qex2) AS avg_soil_moisture_non_irrigated_extensive,
  COUNT(*) AS day_count
FROM daily_rain AS dr
JOIN daily_swc AS ds
  ON dr.day = ds.day
WHERE
  dr.total_rain = 0 OR dr.total_rain >= 10
GROUP BY
  rain_category
ORDER BY
  rain_category","['swc', 'wetter']",33,29,1
37,What was the correlation between daily precipitation and daily average soil moisture for each roof type?,"WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS daily_precip
  FROM wetter
  GROUP BY
    1
), daily_swc AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QGravel) AS avg_gravel,
    AVG(QEx1) AS avg_ex1,
    AVG(QEx2) AS avg_ex2,
    AVG(QIn) AS avg_in,
    AVG(QWetland) AS avg_wetland
  FROM swc
  GROUP BY
    1
)
SELECT
  CORR(r.daily_precip, s.avg_gravel) AS corr_gravel,
  CORR(r.daily_precip, s.avg_ex1) AS corr_smart_irrigated_extensive,
  CORR(r.daily_precip, s.avg_ex2) AS corr_non_irrigated_extensive,
  CORR(r.daily_precip, s.avg_in) AS corr_intensive,
  CORR(r.daily_precip, s.avg_wetland) AS corr_wetland
FROM daily_rain AS r
JOIN daily_swc AS s
  USING (day)","['swc', 'wetter']",34,30,4
38,How did soil moisture in the irrigated extensive roof vary with daily maximum air temperature above 30 °C?,"WITH hot_days AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    MAX(Tmax) AS tmax
  FROM wetter
  GROUP BY
    1
  HAVING
    MAX(Tmax) > 30
), daily_swc AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QEx1) AS avg_soil_moisture_smart_irrigated_extensive
  FROM swc
  GROUP BY
    1
)
SELECT
  d.day,
  h.tmax,
  d.avg_soil_moisture_smart_irrigated_extensive
FROM daily_swc AS d
JOIN hot_days AS h
  USING (day)
ORDER BY
  d.day","['swc', 'wetter']",35,31,1
39,"On days with average air temperature above 25 °C and precipitation below 1 mm, which roof type had the highest average soil moisture?","WITH daily_weather AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(Tmean) AS avg_temp,
    SUM(Rain) AS total_rain
  FROM wetter
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
), qualifying_days AS (
  SELECT
    day
  FROM daily_weather
  WHERE
    avg_temp > 25 AND total_rain < 1
), daily_swc AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(QGravel) AS QGravel,
    AVG(QEx1) AS QEx1,
    AVG(QEx2) AS QEx2,
    AVG(QIn) AS QIn,
    AVG(QWetland) AS QWetland
  FROM swc
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
), roof_avgs AS (
  SELECT
    AVG(s.QGravel) AS gravel_roof,
    AVG(s.QEx1) AS smart_irrigated_extensive,
    AVG(s.QEx2) AS non_irrigated_extensive,
    AVG(s.QIn) AS intensive,
    AVG(s.QWetland) AS wetland
  FROM daily_swc AS s
  JOIN qualifying_days AS q
    ON s.day = q.day
), unpivoted AS (
  SELECT
    'gravel_roof' AS roof_type,
    gravel_roof AS avg_soil_moisture
  FROM roof_avgs
  UNION ALL
  SELECT
    'smart_irrigated_extensive',
    smart_irrigated_extensive
  FROM roof_avgs
  UNION ALL
  SELECT
    'non_irrigated_extensive',
    non_irrigated_extensive
  FROM roof_avgs
  UNION ALL
  SELECT
    'intensive',
    intensive
  FROM roof_avgs
  UNION ALL
  SELECT
    'wetland',
    wetland
  FROM roof_avgs
)
SELECT
  roof_type,
  avg_soil_moisture
FROM unpivoted
ORDER BY
  avg_soil_moisture DESC
LIMIT 1","['swc', 'wetter']",36,32,4
40,How many observations there when the irrigated extensive roof maintain at least 5 percentage points higher soil moisture than the non-irrigated extensive roof?,"SELECT
  COUNT(*)
FROM swc
WHERE
  QEx1 - QEx2 >= 5",['swc'],37,23,10
41,What was the average soil moisture difference between the two extensive roofs during days with precipitation below 1 mm?,"SELECT
  AVG(daily.avg_qex1 - daily.avg_qex2) AS avg_soil_moisture_difference
FROM (
  SELECT
    DATE_TRUNC('DAY', s.timestamp) AS day,
    AVG(s.QEx1) AS avg_qex1,
    AVG(s.QEx2) AS avg_qex2
  FROM swc AS s
  GROUP BY
    DATE_TRUNC('DAY', s.timestamp)
) AS daily
JOIN (
  SELECT
    DATE_TRUNC('DAY', w.timestamp) AS day,
    SUM(w.Rain) AS daily_rain
  FROM wetter AS w
  GROUP BY
    DATE_TRUNC('DAY', w.timestamp)
) AS rain
  ON daily.day = rain.day
WHERE
  rain.daily_rain < 1","['swc', 'wetter']",38,33,1
42,Which roof type had the highest average soil moisture on days with at least 20 mm precipitation?,"WITH rainy_days AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) >= 20
), daily_swc AS (
  SELECT
    DATE_TRUNC('DAY', s.timestamp) AS day,
    AVG(s.QGravel) AS gravel,
    AVG(s.QEx1) AS ex1_irrigated,
    AVG(s.QEx2) AS ex2_non_irrigated,
    AVG(s.QIn) AS intensive,
    AVG(s.QWetland) AS wetland
  FROM swc AS s
  JOIN rainy_days AS r
    ON DATE_TRUNC('DAY', s.timestamp) = r.day
  GROUP BY
    1
), avgs AS (
  SELECT
    'gravel' AS roof_type,
    AVG(gravel) AS avg_soil_moisture
  FROM daily_swc
  UNION ALL
  SELECT
    'smart_irrigated_extensive',
    AVG(ex1_irrigated)
  FROM daily_swc
  UNION ALL
  SELECT
    'non_irrigated_extensive',
    AVG(ex2_non_irrigated)
  FROM daily_swc
  UNION ALL
  SELECT
    'intensive',
    AVG(intensive)
  FROM daily_swc
  UNION ALL
  SELECT
    'wetland',
    AVG(wetland)
  FROM daily_swc
)
SELECT
  roof_type,
  avg_soil_moisture
FROM avgs
ORDER BY
  avg_soil_moisture DESC
LIMIT 1","['swc', 'wetter']",39,34,1
43,How did monthly average soil moisture compare between the wetland roof and intensive green roof?,"SELECT
  DATE_TRUNC('MONTH', timestamp) AS month,
  AVG(QWetland) AS avg_wetland_soil_moisture,
  AVG(QIn) AS avg_intensive_soil_moisture
FROM swc
GROUP BY
  DATE_TRUNC('MONTH', timestamp)
ORDER BY
  month",['swc'],16,14,7
44,What was the lowest monthly median soil moisture observed for each roof type?,"WITH monthly_medians AS (
  SELECT
    DATE_TRUNC('MONTH', timestamp) AS month,
    MEDIAN(QGravel) AS med_gravel,
    MEDIAN(QEx1) AS med_ex1,
    MEDIAN(QEx2) AS med_ex2,
    MEDIAN(QIn) AS med_in,
    MEDIAN(QWetland) AS med_wetland
  FROM swc
  GROUP BY
    DATE_TRUNC('MONTH', timestamp)
)
SELECT
  MIN(med_gravel) AS lowest_monthly_median_gravel,
  MIN(med_ex1) AS lowest_monthly_median_smart_irrigated_extensive,
  MIN(med_ex2) AS lowest_monthly_median_non_irrigated_extensive,
  MIN(med_in) AS lowest_monthly_median_intensive,
  MIN(med_wetland) AS lowest_monthly_median_wetland
FROM monthly_medians",['swc'],40,14,7
45,Which roof type had the strongest negative correlation between daily air temperature and soil moisture?,"WITH daily AS (
  SELECT
    DATE_TRUNC('DAY', w.timestamp) AS day,
    AVG(w.Tmean) AS t_air,
    AVG(s.QGravel) AS q_gravel,
    AVG(s.QEx1) AS q_ex1,
    AVG(s.QEx2) AS q_ex2,
    AVG(s.QIn) AS q_in,
    AVG(s.QWetland) AS q_wetland
  FROM wetter AS w
  JOIN swc AS s
    ON DATE_TRUNC('DAY', w.timestamp) = DATE_TRUNC('DAY', s.timestamp)
  GROUP BY
    1
), corrs AS (
  SELECT
    'gravel' AS roof,
    CORR(t_air, q_gravel) AS c
  FROM daily
  UNION ALL
  SELECT
    'smart_irrigated_extensive',
    CORR(t_air, q_ex1)
  FROM daily
  UNION ALL
  SELECT
    'non_irrigated_extensive',
    CORR(t_air, q_ex2)
  FROM daily
  UNION ALL
  SELECT
    'intensive',
    CORR(t_air, q_in)
  FROM daily
  UNION ALL
  SELECT
    'wetland',
    CORR(t_air, q_wetland)
  FROM daily
)
SELECT
  roof,
  c
FROM corrs
WHERE
  NOT c IS NULL
ORDER BY
  c ASC
LIMIT 1","['swc', 'wetter']",41,35,2
46,What was the average soil temperature for each roof type by individual calendar month?,"SELECT
  DATE_TRUNC('MONTH', timestamp) AS month,
  AVG(TGravel) AS avg_TGravel,
  AVG(TEx1) AS avg_TEx_smart_irrigated,
  AVG(TEx2) AS avg_TEx_non_irrigated,
  AVG(TIn) AS avg_TIn,
  AVG(TWetland) AS avg_TWetland
FROM tsoil
GROUP BY
  DATE_TRUNC('MONTH', timestamp)
ORDER BY
  month",['tsoil'],16,14,7
47,Which roof type had the lowest maximum daily soil temperature during days with maximum air temperature above 30 °C?,"WITH hot_days AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day
  FROM wetter
  WHERE
    Tmax > 30
  GROUP BY
    1
), daily_max AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    MAX(TGravel) AS gravel,
    MAX(TEx1) AS ex1,
    MAX(TEx2) AS ex2,
    MAX(TIn) AS intensive,
    MAX(TWetland) AS wetland
  FROM tsoil
  WHERE
    DATE_TRUNC('DAY', timestamp) IN (
      SELECT
        day
      FROM hot_days
    )
  GROUP BY
    1
), unpivoted AS (
  SELECT
    'gravel' AS roof,
    MAX(gravel) AS max_temp
  FROM daily_max
  UNION ALL
  SELECT
    'smart irrigated extensive',
    MAX(ex1)
  FROM daily_max
  UNION ALL
  SELECT
    'non-irrigated extensive',
    MAX(ex2)
  FROM daily_max
  UNION ALL
  SELECT
    'intensive',
    MAX(intensive)
  FROM daily_max
  UNION ALL
  SELECT
    'wetland',
    MAX(wetland)
  FROM daily_max
)
SELECT
  roof,
  max_temp
FROM unpivoted
ORDER BY
  max_temp ASC
LIMIT 1","['tsoil', 'wetter']",42,32,4
48,How many observations are there when the gravel roof soil temperature exceed 35 °C?,"SELECT
  COUNT(*)
FROM tsoil
WHERE
  TGravel > 35",['tsoil'],43,36,1
49,How often did the wetland roof soil temperature stay below 25 °C when maximum air temperature exceeded 30 °C?,"SELECT
  COUNT(*)
FROM tsoil AS t
JOIN wetter AS w
  ON t.timestamp = w.timestamp
WHERE
  t.TWetland < 25 AND w.Tmax > 30","['tsoil', 'wetter']",44,23,10
50,What was the average daily soil temperature difference between the gravel roof and the wetland roof?,"SELECT
  AVG(daily_diff) AS avg_daily_temp_diff
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(TGravel) - AVG(TWetland) AS daily_diff
  FROM tsoil
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
) AS t",['tsoil'],45,37,5
51,Which roof type had the smallest daily soil temperature variability?,"WITH daily_ranges AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    MAX(TGravel) - MIN(TGravel) AS gravel_range,
    MAX(TEx1) - MIN(TEx1) AS ex1_range,
    MAX(TEx2) - MIN(TEx2) AS ex2_range,
    MAX(TIn) - MIN(TIn) AS in_range,
    MAX(TWetland) - MIN(TWetland) AS wetland_range
  FROM tsoil
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
), avg_variability AS (
  SELECT
    'gravel' AS roof_type,
    AVG(gravel_range) AS avg_daily_range
  FROM daily_ranges
  UNION ALL
  SELECT
    'smart_irrigated_extensive',
    AVG(ex1_range)
  FROM daily_ranges
  UNION ALL
  SELECT
    'non_irrigated_extensive',
    AVG(ex2_range)
  FROM daily_ranges
  UNION ALL
  SELECT
    'intensive',
    AVG(in_range)
  FROM daily_ranges
  UNION ALL
  SELECT
    'wetland',
    AVG(wetland_range)
  FROM daily_ranges
)
SELECT
  roof_type,
  avg_daily_range
FROM avg_variability
ORDER BY
  avg_daily_range ASC
LIMIT 1",['tsoil'],46,32,4
52,How did median soil temperature differ between irrigated and non-irrigated extensive roofs?,"SELECT
  MEDIAN(TEx1) AS median_temp_irrigated,
  MEDIAN(TEx2) AS median_temp_non_irrigated,
  MEDIAN(TEx1) - MEDIAN(TEx2) AS difference
FROM tsoil",['tsoil'],27,23,10
53,"On days with average air temperature above 25 °C, which roof type had the lowest average soil temperature?","WITH hot_days AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day
  FROM wetter
  GROUP BY
    1
  HAVING
    AVG(Tmean) > 25
), soil_daily AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(TGravel) AS gravel,
    AVG(TEx1) AS ex1_irrigated,
    AVG(TEx2) AS ex2_non_irrigated,
    AVG(TIn) AS intensive,
    AVG(TWetland) AS wetland
  FROM tsoil
  GROUP BY
    1
), avgs AS (
  SELECT
    AVG(gravel) AS gravel,
    AVG(ex1_irrigated) AS ex1_irrigated,
    AVG(ex2_non_irrigated) AS ex2_non_irrigated,
    AVG(intensive) AS intensive,
    AVG(wetland) AS wetland
  FROM soil_daily AS s
  JOIN hot_days AS h
    USING (day)
), unpivoted AS (
  SELECT
    'gravel' AS roof_type,
    gravel AS avg_tsoil
  FROM avgs
  UNION ALL
  SELECT
    'smart_irrigated_extensive',
    ex1_irrigated
  FROM avgs
  UNION ALL
  SELECT
    'non_irrigated_extensive',
    ex2_non_irrigated
  FROM avgs
  UNION ALL
  SELECT
    'intensive',
    intensive
  FROM avgs
  UNION ALL
  SELECT
    'wetland',
    wetland
  FROM avgs
)
SELECT
  roof_type,
  avg_tsoil
FROM unpivoted
ORDER BY
  avg_tsoil ASC
LIMIT 1","['tsoil', 'wetter']",47,32,4
54,What was the correlation between average daily air temperature and average daily soil temperature for each roof type?,"WITH daily_weather AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(Tmean) AS air_temp
  FROM wetter
  GROUP BY
    1
), daily_soil AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(TGravel) AS t_gravel,
    AVG(TEx1) AS t_ex1,
    AVG(TEx2) AS t_ex2,
    AVG(TIn) AS t_in,
    AVG(TWetland) AS t_wetland
  FROM tsoil
  GROUP BY
    1
), daily AS (
  SELECT
    *
  FROM daily_weather
  JOIN daily_soil
    USING (day)
)
SELECT
  CORR(air_temp, t_gravel) AS corr_gravel,
  CORR(air_temp, t_ex1) AS corr_extensive_smart_irrigated,
  CORR(air_temp, t_ex2) AS corr_extensive_non_irrigated,
  CORR(air_temp, t_in) AS corr_intensive,
  CORR(air_temp, t_wetland) AS corr_wetland
FROM daily","['tsoil', 'wetter']",48,30,4
55,How did soil temperature in the non-irrigated extensive roof differ between days with precipitation below 1 mm and days with at least 10 mm precipitation?,"WITH daily AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS daily_rain
  FROM wetter
  GROUP BY
    1
), daily_t AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(TEx2) AS avg_tex2
  FROM tsoil
  GROUP BY
    1
)
SELECT
  CASE
    WHEN d.daily_rain < 1
    THEN 'below_1mm'
    WHEN d.daily_rain >= 10
    THEN 'at_least_10mm'
  END AS rain_category,
  AVG(dt.avg_tex2) AS avg_soil_temp_nonirrigated_extensive,
  COUNT(*) AS n_days
FROM daily AS d
JOIN daily_t AS dt
  USING (day)
WHERE
  d.daily_rain < 1 OR d.daily_rain >= 10
GROUP BY
  1
ORDER BY
  1","['tsoil', 'wetter']",49,38,1
56,Which roof type showed the greatest monthly cooling relative to air temperature?,"WITH monthly AS (
  SELECT
    DATE_TRUNC('MONTH', r.timestamp) AS month,
    AVG(w.Tmean - (
      r.ED1_TSFCkorr - 273.15
    )) AS cooling_ED1,
    AVG(w.Tmean - (
      r.ED2_TSFCkorr - 273.15
    )) AS cooling_ED2,
    AVG(w.Tmean - (
      r.KD_TSFCkorr - 273.15
    )) AS cooling_KD,
    AVG(w.Tmean - (
      r.SD_TSFCkorr - 273.15
    )) AS cooling_SD
  FROM radiation AS r
  JOIN wetter AS w
    ON r.timestamp = w.timestamp
  GROUP BY
    DATE_TRUNC('MONTH', r.timestamp)
), unpivoted AS (
  SELECT
    month,
    'smart irrigated extensive green roof' AS roof_type,
    cooling_ED1 AS cooling
  FROM monthly
  UNION ALL
  SELECT
    month,
    'non-irrigated extensive green roof',
    cooling_ED2
  FROM monthly
  UNION ALL
  SELECT
    month,
    'gravel roof',
    cooling_KD
  FROM monthly
  UNION ALL
  SELECT
    month,
    'wetland green roof',
    cooling_SD
  FROM monthly
)
SELECT
  roof_type,
  month,
  cooling
FROM unpivoted
ORDER BY
  cooling DESC
LIMIT 1","['radiation', 'wetter']",50,39,1
57,How many days had the wetland roof soil temperature at least 3 °C lower than the gravel roof?,"SELECT
  COUNT(*)
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    AVG(TWetland) AS avg_wetland,
    AVG(TGravel) AS avg_gravel
  FROM tsoil
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
  HAVING
    AVG(TGravel) - AVG(TWetland) >= 3
)",['tsoil'],51,37,5
58,How often was the irrigated extensive roof soil temperature lower than the non-irrigated extensive roof by at least 2 °C?,"SELECT
  COUNT(*)
FROM tsoil
WHERE
  TEx2 - TEx1 >= 2",['tsoil'],37,23,10
59,What was the average soil temperature difference between vegetated roofs and the gravel roof during days with maximum air temperature above 30 °C?,"WITH hot_days AS (
  SELECT DISTINCT
    DATE_TRUNC('DAY', timestamp) AS day
  FROM wetter
  WHERE
    Tmax > 30
)
SELECT
  AVG((
    (
      t.TEx1 + t.TEx2 + t.TIn + t.TWetland
    ) / 4.0
  ) - t.TGravel) AS avg_soil_temp_diff
FROM tsoil AS t
JOIN hot_days AS h
  ON DATE_TRUNC('DAY', t.timestamp) = h.day
WHERE
  NOT t.TGravel IS NULL
  AND NOT t.TEx1 IS NULL
  AND NOT t.TEx2 IS NULL
  AND NOT t.TIn IS NULL
  AND NOT t.TWetland IS NULL","['tsoil', 'wetter']",52,40,1
60,Which roof type had the highest average corrected surface temperature by calendar month?,"WITH monthly AS (
  SELECT
    DATE_TRUNC('MONTH', timestamp) AS month,
    'smart irrigated extensive' AS roof,
    AVG(ED1_TSFCkorr) AS avg_tsfc
  FROM radiation
  GROUP BY
    1
  UNION ALL
  SELECT
    DATE_TRUNC('MONTH', timestamp),
    'non-irrigated extensive',
    AVG(ED2_TSFCkorr)
  FROM radiation
  GROUP BY
    1
  UNION ALL
  SELECT
    DATE_TRUNC('MONTH', timestamp),
    'gravel',
    AVG(KD_TSFCkorr)
  FROM radiation
  GROUP BY
    1
  UNION ALL
  SELECT
    DATE_TRUNC('MONTH', timestamp),
    'wetland',
    AVG(SD_TSFCkorr)
  FROM radiation
  GROUP BY
    1
)
SELECT
  month,
  roof,
  avg_tsfc
FROM monthly
QUALIFY
  ROW_NUMBER() OVER (PARTITION BY month ORDER BY avg_tsfc DESC) = 1
ORDER BY
  month",['radiation'],53,41,1
61,How many observations are there when the gravel roof have the highest corrected surface temperature among the monitored roof surfaces?,"SELECT
  COUNT(*)
FROM radiation
WHERE
  KD_TSFCkorr > ED1_TSFCkorr
  AND KD_TSFCkorr > ED2_TSFCkorr
  AND KD_TSFCkorr > SD_TSFCkorr",['radiation'],26,22,4
62,On how many observations did the wetland roof have the lowest corrected surface temperature among the monitored roof surfaces?,"SELECT
  COUNT(*) AS wetland_lowest_count
FROM radiation
WHERE
  NOT SD_TSFCkorr IS NULL
  AND NOT ED1_TSFCkorr IS NULL
  AND NOT ED2_TSFCkorr IS NULL
  AND NOT KD_TSFCkorr IS NULL
  AND SD_TSFCkorr < ED1_TSFCkorr
  AND SD_TSFCkorr < ED2_TSFCkorr
  AND SD_TSFCkorr < KD_TSFCkorr",['radiation'],26,22,4
63,What was the average corrected surface temperature difference between the irrigated and non-irrigated extensive roofs?,"SELECT
  AVG(ED1_TSFCkorr - ED2_TSFCkorr) AS avg_temp_diff
FROM radiation",['radiation'],54,23,10
64,"On days with maximum air temperature above 30 °C, which roof surface had the lowest average corrected surface temperature?","WITH hot_days AS (
  SELECT DISTINCT
    CAST(timestamp AS DATE) AS day
  FROM wetter
  WHERE
    Tmax > 30
), avg_temps AS (
  SELECT
    AVG(ED1_TSFCkorr) AS smart_irrigated_extensive,
    AVG(ED2_TSFCkorr) AS non_irrigated_extensive,
    AVG(KD_TSFCkorr) AS gravel,
    AVG(SD_TSFCkorr) AS wetland
  FROM radiation
  WHERE
    CAST(timestamp AS DATE) IN (
      SELECT
        day
      FROM hot_days
    )
), unpivoted AS (
  SELECT
    'smart_irrigated_extensive' AS roof,
    smart_irrigated_extensive AS avg_tsfc
  FROM avg_temps
  UNION ALL
  SELECT
    'non_irrigated_extensive',
    non_irrigated_extensive
  FROM avg_temps
  UNION ALL
  SELECT
    'gravel',
    gravel
  FROM avg_temps
  UNION ALL
  SELECT
    'wetland',
    wetland
  FROM avg_temps
)
SELECT
  roof,
  avg_tsfc
FROM unpivoted
WHERE
  NOT avg_tsfc IS NULL
ORDER BY
  avg_tsfc ASC
LIMIT 1","['radiation', 'wetter']",55,42,2
65,How did average corrected surface temperature vary by roof type on days with precipitation below 1 mm?,"SELECT
  DATE_TRUNC('DAY', r.timestamp) AS day,
  AVG(r.ED1_TSFCkorr) AS avg_smart_irrigated_extensive_tsfc,
  AVG(r.ED2_TSFCkorr) AS avg_non_irrigated_extensive_tsfc,
  AVG(r.KD_TSFCkorr) AS avg_gravel_tsfc,
  AVG(r.SD_TSFCkorr) AS avg_wetland_tsfc
FROM radiation AS r
JOIN (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS daily_rain
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) < 1
) AS w
  ON DATE_TRUNC('DAY', r.timestamp) = w.day
GROUP BY
  1
ORDER BY
  1","['radiation', 'wetter']",56,43,1
66,What was the maximum corrected surface temperature for each roof type during days with average air temperature above 25 °C?,"WITH hot_days AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day
  FROM wetter
  GROUP BY
    DATE_TRUNC('DAY', timestamp)
  HAVING
    AVG(Tmean) > 25
)
SELECT
  MAX(r.ED1_TSFCkorr) AS max_smart_irrigated_extensive_tsfckorr,
  MAX(r.ED2_TSFCkorr) AS max_non_irrigated_extensive_tsfckorr,
  MAX(r.KD_TSFCkorr) AS max_gravel_tsfckorr,
  MAX(r.SD_TSFCkorr) AS max_wetland_tsfckorr
FROM radiation AS r
JOIN hot_days AS h
  ON DATE_TRUNC('DAY', r.timestamp) = h.day","['radiation', 'wetter']",57,42,2
67,How many days did the non-irrigated extensive roof corrected surface temperature exceed the irrigated extensive roof by at least 5 K?,"SELECT
  COUNT(*)
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day
  FROM radiation
  WHERE
    ED2_TSFCkorr - ED1_TSFCkorr >= 5
  GROUP BY
    1
)",['radiation'],58,23,10
68,What was the monthly average difference in corrected surface temperature between the gravel roof and wetland roof?,"SELECT
  DATE_TRUNC('MONTH', timestamp) AS month,
  AVG(KD_TSFCkorr - SD_TSFCkorr) AS avg_temp_diff
FROM radiation
GROUP BY
  month
ORDER BY
  month",['radiation'],59,37,5
